      時刻        FSM    権     傾き    RMS     膝τ     足首τ    Hz        コマ
15:23:49       IDLE   標準   1.7°  0.015  27.9N   +6.1N   50    0/1   
15:23:55   STD:damp   標準   1.7°  0.015  28.3N   +6.0N   50    0/1   
15:23:56   STD:damp   標準  21.6°  1.222  31.4N   +3.8N   50    0/1   
15:23:57   STD:damp   標準  13.3°  0.058   0.7N   +0.0N   50    0/1   
15:23:57   STD:damp   標準   9.6°  0.083   1.5N   +0.2N   50    0/1   
15:23:57   STD:damp   標準   3.1°  0.100   2.5N   +0.0N   50    0/1   
15:23:58   STD:damp   標準   5.3°  0.105   2.8N   +0.0N   50    0/1   
15:24:00   STD:damp   標準   1.9°  0.034   0.5N   +0.0N   50    0/1   
15:24:14  STD:stand   標準   2.6°  0.010   0.6N   +0.4N   50    0/1   
15:24:17  STD:stand   標準   4.3°  0.080   2.9N   +5.6N   50    0/1   
15:24:22  STD:stand   標準   2.6°  0.023   6.2N  +11.2N   50    0/1   
15:24:27  STD:stand   標準   5.6°  0.070  24.3N   +0.1N   50    0/1   
15:24:27  STD:stand   標準   3.6°  0.033  20.7N   +1.4N   50    0/1   
         │ 15:25:07 ★接地チェックは制御権を持っているときだけ。[⤓ 開始姿勢へ] のあとに押してください
15:25:59  STD:stand   標準   4.3°  0.024  21.8N  +16.3N   50    0/1   
15:26:00  STD:stand   標準   3.9°  0.022  24.5N  +16.9N   50    0/1   
15:26:01  STD:stand   標準   4.1°  0.025  22.4N  +16.2N   50    0/1   
15:26:02  STD:stand   標準   3.3°  0.045  26.3N  +16.2N   50    0/1   
15:26:05  STD:stand   標準   6.8°  0.030  20.1N  +19.8N   50    0/1   
15:26:06  STD:stand   標準   3.8°  0.044  24.3N  +18.5N   50    0/1   
15:26:14  STD:stand   標準   4.2°  0.011  31.3N   +4.6N   50    0/1   
15:26:14  STD:stand   標準   3.9°  0.014  30.9N   +4.7N   50    0/1   
15:26:33  STD:stand   標準   4.1°  0.013  31.0N   +4.9N   50    0/1   
15:26:34  STD:stand   標準   3.9°  0.022  30.5N   +4.4N   50    0/1   
15:26:53       IDLE   方策   3.2°  0.110  34.5N   +7.8N   50    0/1   
         │ 15:26:53 カスタム制御へ引き継ぎ(現姿勢を保持中 傾き2度)。★このPD保持ではバランスは取れません — 支えたまま、速やかに方策を開始するか[ダンプ]へ戻すこと
15:26:59       IDLE   方策   4.1°  0.009  27.2N  +13.2N   50    0/1   
15:26:59       IDLE   方策   2.6°  0.073  30.6N  +12.6N   50    0/1   
15:27:00       IDLE   方策   6.1°  0.032  40.8N   +5.4N   50    0/1   
         │ 15:28:40 接地チェック: 左足 追従率0.05(動き+0.1度 τ変化+2.0N) 接地OK / 右足 追従率0.05(動き+0.1度 τ変化+1.8N) 接地OK
